category,question,answer
"language","Translate the following sentence from Latin to English: “Pontem aedificāvērunt ut trāns flūmen īrent.”","THEY BUILT A BRIDGE (IN ORDER) TO {GO ACROSS // CROSS} THE RIVER"
"language","What use of the dative is found in the following sentence: “Vīta bene agenda est nōbīs”?","AGENT"
"history","What king served in the Roman army at Numantia, massacred Roman merchants at Cirta, and bribed a series of Roman commanders starting in 111 B.C., but was finally captured by Marius?","JUGURTHA"
"language","Which of the following words does NOT belong due to derivation: “partisan,” “partition,” “rampart,” “compartment”?","RAMPART"
"language","Complete the following analogy: equus : eques :: pēs : --------- ?","PEDES"
"mythology","Who was torn apart by Blackfoot, Tracker, and others after Diana transformed him into a stag for stumbling upon her naked form?","ACTAEON"
"history","What group met at Luca in 56 B.C. in order to solidify their military and political command over the republic, though the death of one of their members three years later precipitated a civil war between the remaining two?","FIRST TRIUMVIRATE"
"language","For the verb ferō, ferre, give the masculine nominative plural form of the present active participle.","FERENTES"
"mythology","What bard sang of the love affair between Ares and Aphrodite before recounting the fall of Troy, bringing Odysseus to tears?","DEMODOCUS"
"language","Differentiate in meaning between the Latin nouns onus and opus.","BURDEN / STRUGGLE and WORK (RESPECTIVELY)"
"history","During the fifth secession of the plebs, the plebeians seceded to what hill, which was added to the city by Ancus Marcius when he annexed the region across the Tiber?","JANICULUM"
"language","Translate from Latin into English: “Signō datō, cōpiae castra oppugnāvērunt.”","{WITH THE SIGNAL GIVEN // AFTER / SINCE / WHEN THE SIGNAL WAS GIVEN}, THE TROOPS {STORMED / ATTACKED} THE CAMP(S)"
"mythologyology","Described by Hesiod as “the wife of Dionysus whom Zeus made immortal,” what woman was abandoned on Naxos after she gave Theseus a spool of thread to help him navigate the Labyrinth?","ARIADNE"
"language","What tense is contained in the mottoes of Johns Hopkins University, Hunter College, and Columbia University?","FUTURE"
"history","Because he was more interested in Etruscan history and linguistics, who let Polybius, Pallas, Callistus, Narcissus, and other freedmen control the empire during his reign from 41-54 A.D.?","CLAUDIUS"
"mythology","What mother of Rhadamanthys and Minos offered flowers to a white bull which suddenly whisked her away to Crete?","EUROPA"
"language","For the verb vendō, give an antonym.","EMO"
"history","Arrange the following three cities in order from east to west: Carthago Nova, Vindobona, Carrhae.","CARRHAE, VINDOBONA, CARTHAGO NOVA"
"history","What battle of 260 A.D. was an especially shameful defeat for the Romans, since Shapur I captured their emperor Valerian alive?","EDESSA"
"language","Translate the following sentence from English into Latin using a deponent verb: “Speak with us, gods!”","LOQUIMINĪ NŌBĪSCUM, D(E)Ī!"
"mythology","Odysseus and Diomedes learned the location of Rhesus’s camp from interrogating what Trojan spy?","DOLON"
"history","What group was originally hired by Agathocles of Syracuse before they went rogue in 289 BC and seized the city of Messana, which they would hold until their appeal for Roman support in 264 BC?","MAMERTINES"
"language","A certain type of very large vulture has the older name “ossifrage”, given to it by Pliny in his Nātūrālis Historia. From what two Latin words is “ossifrage” derived, given that it literally means “bone-breaker”?","OS and FRANGŌ"
"language","Translate the motto of Emory University, “cor prūdentis possidēbit scientiam,” into English.","THE HEART OF A PRUDENT (MAN / PERSON) WILL POSSESS KNOWLEDGE"
"mythology","What man was away at the Taphian islands, where he killed Pterelaus with the help of his treacherous daughter Comaetho, while Zeus laid with his wife at Thebes in his guise?","AMPHITRYON"
"culture","What event, which ended with the consumption of silicernium, was followed by a nine-day period culminating in a feast at the host's home called the cēna novendiālis?","FUNERAL(S)"
"history","During what emperor’s reign did all the following events occur? A Numidian named Tacfarinas leads a 7-year rebellion. The adoptive son of the emperor is perhaps poisoned by a governor of Syria, Gnaeus Calpurnius Piso. The emperor’s death at Misenum is perhaps assisted by his new praetorian prefect Macro.","TIBERIUS"
"language","Of the forms cervīcem, sagittam, dēdecus, and necem, which best fills in the blank of the following sentence: “-------- committentibus dandae sunt maximae poenae.”","NECEM"
"mythology","What city in Phocis was the meeting spot of two eagles flying from opposite ends of the world and the site of a monster's death at the hands of a young Apollo?","DELPHI"
"history","Who was simultaneously undermined by his brother-in-law Clodius Pulcher and his own failure to capture Artaxata during his Armenian campaign, leading to the passage of the lēx Mānīlia transferring command of the 3rd Mithridatic War to Pompey?","(L. LICINIUS) LUCULLUS"
"language","Translate from Latin into English: “In summō colle stetimus ab omnī parte tūtī.”","WE STOOD {ON TOP OF THE HILL // AT THE TOP OF THE HILL}, SAFE FROM EVERY {DIRECTION / PART}"
"language","Note to players: if possible, please keep your cameras on throughout this question. When recognized by the spotter, perform the following commands: “Tolle pedem dextrum ad genū sinistrum et temptā salīre.”","PLAYER RAISES RIGHT FOOT TO LEFT KNEE AND JUMPS OR ATTEMPTS TO JUMP"
"mythology","The daughters of Minyas, the Thracian king Lycurgus, and the Theban king Pentheus all met terrible fates because they opposed the worship of what deity?","DIONYSUS / BACCHUS"
"language","Differentiate in meaning between frōns, frondis and frōns, frontis.","LEAF / BRANCH / FROND and FOREHEAD / FRONT (RESPECTIVELY)"
"history","What tribune of 232 B.C. proposed redistribution of the ager Gallicus, though he is better known for his ill-fated consulship in which almost 36,000 Romans were killed or slaughtered, including himself, near Lake Trasimene?","(C.) FLAMINIUS"
"language","What grammatical term is given to nouns like nefās, māne, and nihil, which only have one case form?","INDECLINABLE"
"mythology","What kind of animal, which helped Psyche sort a heap of mixed grains by nightfall, did Zeus transform into humans on the island of Aegina at the behest of Aeacus?","ANT(S)"
"language","For the Latin verb pariō, give the 3rd person plural future perfect active indicative.","PEPERERINT"
"history","Often portrayed on coins as Cybele or on the throne of Juno, what empress accompanied her husband to Britain — where he died at Eburacum — then had to suffer her son Geta being murdered in her arms by her other son, Caracalla?","(JULIA) DOMNA"
"history","What man commanded the Bithynian fleet in a naval battle against Eumenes II in one of his final military deeds before Flamininus was sent to the court of Prusias to demand his extradition?","HANNIBAL"
"mythology","When her father found out that the woman he had slept with was actually his daughter, what princess of Cyprus fled into the forest, where she was transformed into a tree that gave birth to Adonis?","MYRRHA / SMYRNA"
"language","What general category of meaning is shared by the Latin words at the root of “pretzel”, “accolade,” “antler”, “pawn”, and “handkerchief”?","BODY PARTS"
"history","Perhaps because of the deliberate disloyalty of Trebonianus Gallus, what emperor fell into a boggy trap and was defeated and killed by the Gothic forces of Kniva at the battle of Abrittus?","DECIUS"
"language","Change the Latin phrase “duo albī bovēs” to the ablative case.","DUŌBUS ALBĪS {BŌBUS / BŪBUS}"
"language","What use of the subjunctive is found in the sentences “Adeō territus erat ut fugeret” and “Ille mōns tam altus est ut eum ascendere nōn possim”?","RESULT / CONSECUTIVE (CLAUSE)"
"mythology","Pheres’s son Lycurgus was the king of what city, home to both eponymous games that were founded in honor of Opheltes by Adrastus and a famous invulnerable monster?","NEMEA"
"language","What Latin word is — along with rēs — the only fully declinable 5th-declension noun, is the only base 5th-declension noun to typically be masculine, and refers to a period of “quattuor et vīgintī hōrae”?","DIES"
"mythology","What son of Theiodamas’s disappearance in Mysia to a local spring nymph sparked a search by Heracles and his departure from the Argonauts?","HYLAS"
"history","Who was driven out of Rome by the consul Gnaeus Octavius, prompting him to travel to Nola and turn Sulla’s troops to his cause, finally returning to Rome with these troops and Marius by his side?","(L. CORNELIUS) CINNA"
"language","Differentiate in meaning between the Latin words queror and quaerō.","COMPLAIN and ASK (RESPECTIVELY)"
"language","Translate the following sentence from Latin into English: “Cum spēs omnis abesset, cōnsilium perīculōsum cēpērunt.”","{WHEN / SINCE} ALL HOPE WAS {GONE / ABSENT}, THEY MADE A {DANGEROUS / RISKY} PLAN"
"history","What Vandal general engineered the murder of the eastern prefect Rufinus while serving as de facto emperor of the Western empire, which was nominally controlled by Theodosius’s son Honorius?","STILICHO"
"mythology","What skill did Misenus, Cycnus, Thamyris, Amphion, and Marsyas all have?","MUSIC / MUSICIANS [ACCEPT SIMILAR ANSWERS]"
"language","While visiting the Vatican Museums you stop to read the inscription on an urn and encounter the letters “DM”. Give the Latin and English for these letters.","DĪS MĀNIBUS – TO THE SPIRITS OF THE DEAD"
"language","Which of the following words is not derived from the same Latin root as the others: “jess,” “jet,” “jut,” “gist”?","GIST"
"history","What modern-day city, which names a body of water near which Pompeii and Herculaneum were located, has an ancient name that means “new city” in Ancient Greek, Neapolis?","NAPLES"
"history","Who correctly interpreted the cutting off of the heads of poppies to mean that he needed to kill the leaders of Gabii in order to win the city for his father, Tarquinius Superbus?","SEXTUS TARQUINIUS"
"language","Using an impersonal verb, say in Latin: “It is fitting that the crown be given to the victors.”","{DECET / OPORTET} CORŌNAM VICTŌRIBUS DARĪ"
"mythology","Differentiate in mythologyological character between a native of Pharos who was the father of Eidothea and an Argive king whose wife Stheneboea was killed by Bellerophon.","PROTEUS and PROËTUS (RESPECTIVELY)"

