category,question,answer
"language","Listen carefully to the following passage, which I will read twice, and answer the questions that follow in English: Sapiens magister ad discipulōs dīcit: “Ars longa, vīta brevis.” Quod nōn intellegunt, discipulī rogant: “Magister, cūr verba dīcis”? Magister inquit: “Volō vōs carpere diem.” The question: What does the teacher initially say to the students?","ART (IS) LONG, LIFE (IS) SHORT"
"culture","What part of the Roman house had many styles, including Corinthium, Tetrastylon, and Testidinatum, perhaps because it was the central court where wealthy sponsors would receive guests?","ATRIUM"
"language","What is the feminine accusative singular of the demonstrative pronoun hic?","HANC"
"mythology","Which grandson of Sisyphus received advice from the Ephyran seer Polyeidus on how to capture the legendary winged horse Pegasus?","Bellerophon"
"language","Translate into English: Laetus sum quod meus amīcus es.","I AM HAPPY BECAUSE YOU ARE MY FRIEND"
"history","What man, awarded the corona graminea during the Social War, evidently had higher ambitions that would culminate in him becoming dictator of Rome in 82 B.C.?","SULLA"
"language","Which of the following, if any, does not belong due to gender: nauta, pater, puer, domus, rex?","DOMUS (THE REST ARE MASCULINE)"
"mythology","What king of Phrygia served as the judge of a music contest between Pan and Apollo?","MIDAS"
"history","While his praetorian prefect Sejanus held rule over Rome, what emperor stayed in Capri?","TIBERIUS"
"language","The accusative singular of the Latin noun Tiber is Tiberim, suggesting that it belongs to what class of third-declension nouns that have -ium in the genitive plural and -ī in the ablative singular?","(PURE) I-STEMS"
"history","What consul of 503 B.C. led troops against the Latin town of Pometia, but was most famous for his actions nine years later, when he told the plebeians the story of the Belly and the Members?","MENENIUS AGRIPPA"
"mythology","During the Trojan War, what man was responsible for many feats, including the framing of Palamedes, a night raid on Troy, and the idea for the Trojan Horse?","ODYSSEUS"
"language","Which of the following, if any, does not belong due to derivation: bonanza, boon, embellish, benign, debonair?","NONE (ALL ARE DERIVED FROM BONUS)"
"mythology","Which Sidonian woman fled from Tyre to escape her greedy brother and went on to found the wondrous city of Carthage?","DIDO"
"history","After her husband was killed and her daughters raped by Roman occupiers, which queen of the Iceni led a revolt in Britain in 60 A.D. but was defeated by Suetonius Paulinus and subsequently committed suicide?","BOUDICA"
"language","Translate the following sentence into English: Pugnābimus hostēs, quī dēlēre castra nostra volunt.","WE WILL FIGHT THE ENEMIES / ENEMY, WHO WANT / WANTS TO DESTROY OUR CAMP"
"mythology","To which famous prophet did Oedipus turn for information on the murder of Laius, only to discover that he himself was the murderer?","T(E)IRESIAS"
"language","When recognized by the moderator, perform the following command: Stā et tange bracchium tuum.","STUDENT SHOULD STAND AND TOUCH ONE OF HIS / HER ARMS"
"culture","What slave, usually an old man, was often alternatively called a comes, rector, monitor, or custos, and had the main responsibility of accompanying a boy to school?","PAEDAGOGUS"
"language","Translate this sentence into Latin: Why can’t we be friends?","CŪR / QUĀRĒ ESSE AMĪCĪ / AMĪCAE NŌN POSSUMUS / NEQUĪMUS?"
"language","Listen carefully to the following passage, which I will read twice, and answer the questions that follow in English: Sicilia est magna et pulchra insula. Clārus vir, quī in Siciliā habitābat, erat Archimedes. Quamquam Romānī militēs insulam oppugnābant, Archimedes nōn timidus erat. Dux militum Archimedem necāre nōn voluit, sed īrātī militēs eum interfēcit. The question: What did the leader of Romans not want?","TO KILL ARCHIMEDES"
"mythology","What hunter, the son of Hyreius, fell in love with Merope, the daughter of Oenopion, and eventually became a constellation in the night sky?","ORION"
"culture","What Latin phrase describes a daily allowance that an organization gives an individual on a daily basis to cover basic living expenses?","PER DIEM"
"mythology","Now an eponym meaning “a female advisor,” who gave wisdom and prophecy in return for libations at her sacred grove, which were frequented by Numa Pompilius when he created Roman laws?","EGERIA"
"language","Of carcer, caput, carmen, carrus, and castra, which is described in this sentence: est locus ā quō Minerva ē corpōre Iovis exīvit.","CAPUT"
"language","In the sentence “I met the woman, whose name was Maria,” what are two ways that “whose” could be translated in Latin?","CUIUS / CUĪ"
"mythology","Alcyone, Celaeno, Electra, and Sterope were all members of what group of seven daughters of Atlas?","ATLAS"
"language","What is the accusative singular, neuter form of the demonstrative pronoun is?","ID"
"history","On his deathbed in 395 A.D., who permanently split the Roman Empire into two halves by giving the east to Arcadius and the west to Honorius?","THEODOSIUS I / THE GREAT"
"language","From what Latin word with what meaning do we derive “isolation”?","INSULA – ISLAND"
"culture","The devastation of Italy by Hannibal and the decrease of free labor due to the ravages of war led to the replacement of small farms by what large farming estates?","LATIFUNDIA"
"language","Often used in the manner of a conditional, temporal, causal, or concessive clause, what Latin construction involves either two nouns, or a noun and a participle, placed in the ablative case?","ABLATIVE ABSOLUTE"
"mythology","Which trio was said to have the shape of swans but with human heads and arms and hands below their wings?","GRAEAE"
"language","Translate the following sentence into English: Duōbus mensibus, Caesar flūmen transiverit et “alea iacta est” clamaverit.","(WITH)IN TWO MONTHS, CAESAR WILL HAVE CROSSED THE RIVER AND (WILL HAVE) SHOUTED “THE DIE IS CAST”"
"language","What is the meaning and full Latin for the abbreviation A.B.?","ARTIUM BACCALAUREUS – BACHELOR OF ARTS"
"mythology","Ocnus, Tityos, Salmoneus, the Titans, Danaides, Ixion, and Sisyphus all suffered what fate?","PUNISHED IN THE UNDERWORLD / CONDEMNED TO TARTARUS"
"history","After defeating the Romans at Noreia in 112 B.C., what two tribes dealt another crushing blow to the Romans at Arausio in 105 B.C., before being dealt with by Gaius Marius?","CIMBRI & TEUTONES"
"language","Listen carefully to the following passage, which I will read twice, and answer the questions that follow in Latin: Dīdō erat potens rēgīna, quem populī Carthāginis amant. Multī virī dūcere Dīdōnem in matrimōnium cupiunt, sed Dīdō recūsat. Unō diē, Aeneas litōra eius regnī advenit. Quod Cupido in corde Dīdōnis sagittam figit, rēgīna Carthāginis Aeneam amat. The question: A quō Dīdō vulnerāta est?","(Ā) CUPIDINE"
"language","What word, derived from a Latin word meaning “race,” is “a magic spirit believed to take human form and serve the person who calls it”?","GENIE"
"culture","Also called the tunica exterior, what Roman garment, open at both sides above the waist and fastened on the shoulder by brooches, served as the traditional clothing of choice for Roman matrons?","STOLA"
"language","Give the 2nd person plural, future, passive, indicative for the verb scribō.","SCRIBĒMINI"
"mythology","What talented young Argonaut was able to zip over the waves without getting his feet wet, a skill which helped propel the Argo through the Clashing Rocks?","EUPHEMUS"
"language","Using an irregular verb, translate the following sentence into Latin: We want to hear the speech, don’t we?","NONNE VOLUMUS AUDĪRE ORATIŌNEM?"
"history","Who led reinforcements to the defense of the consul Minucius Esquilinus in 458 B.C. at the Battle of Mount Algidus, before retiring from the dictatorship after his victory?","(L. QUIN(C)TIUS) CINCINNATUS"
"mythology","Which foolish mortal attempted to emulate Zeus’s thunder and lightning during a festival for the god, an act for which the god angrily struck him to death?","SALMONEUS"
"history","A distant relative of the Julio-Claudians, which emperor was the last to be buried in the Mausoleum of Augustus when he died in 98 A.D.?","Nerva"
"language","Which of the following, if any, does not belong due to gender: quies, pluvia, aedēs, gens, mos, consuetūdo?","MOS"
"language","Using difficilis, say in Latin “of the very difficult labors.”","DIFFICILLIMŌRUM LABŌRUM"
"mythology","In Book 11 of the Odyssey, Odysseus eventually leaves the Underworld for fear that what monster would appear?","GORGON/MEDUSA"
"mythology","Who left behind his son Astyanax, his wife Andromache, and his father Priam when he was killed and dragged three times around the walls of Troy by Achilles?","HECTOR"
"language","Translate the following sentence into Latin: “Romulus was the son of Rhea Silvia.”","ROMULUS FILIUS RHEAE SILVIAE"
"history","Who defeated Maxentius at the Milvian Bridge after seeing a vision of a flaming cross in the sun, which may have prompted his conversion to Christianity?","CONSTANTINE THE FIRST/THE GREAT"
"language","Which of the following verbs best describes a magister: ambulō, cupiō, doceō, temptō?","DOCEO"
"mythology","What goddess, enraged at the forgetfulness of Oeneus, sent a ferocious boar to his kingdom, leading to the infamous Calydonian Boar Hunt?","ARTEMIS/MINERVA"
"language","What case would be used to translate the word “mother” in the sentences “I will tell my mother a story” and “I gave my mother a splendid gift”?","DATIVE"
"language","The Latin abbreviation a.d. means “in the year of our Lord” in English. What is this phrase in Latin?","ANNO DOMINI"
"mythology","In what city did all the following tragic events occur? Agave tears apart her son Pentheus; Zeus reveals his true form to his lover Semele; Jocasta inadvertently marries her own son, Oedipus?","THEBES"
"culture","What was the Latin term for the person who possessed dominica potestās and patria potestās as head of a Roman household?","PATER FAMILIAS/PATERFAMILIAS"
"history","Who completely overshadowed his colleague Bibulus, conquered most of Gaul, and died in the Theatre of Pompey when he was stabbed 23 times on the Ides of March in 44 B.C.?","JULIUS CAESAR"
"language","The English words “ablative,” “translate,” and “defer” are all derived from what irregular Latin verb meaning “to carry”?","FERO"
"language","Translate this sentence: “Mārcus ad amphitheātrum cum amīcīs currēbat.”","MARCUS WAS RUNNING TO THE AMPHITHEATER WITH FRIENDS"
"history","After the Romans added hinged gangplanks called corvī to their ships, at what battle in 260 B.C. did Rome gain its first major naval victory?","BATTLE OF MYLAE"
"language","Differentiate in meaning between the Latin verbs moveō and moneō","(TO/I) MOVE AND (TO/I) WARN, RESPECTIVELY"
"mythology","What man, who moved the Furies to tears and melted the cold hearts of Hades and Persephone with his music, could not resist looking back at his wife, losing his chance to bring her back to life?","ORPHEUS"
"language","In the sentence “Magnō cum gaudiō ad lūdos currunt,” what use of the ablative is “gaudiō”?","MANNER"
"history","Which king of Rome built the cūria, oversaw the execution of Mettius Fufetius, and set up a duel between two sets of triplets during his war with Alba Longa?","TULLUS HOSTILLIUS"
"language","Give the principal parts of a Latin verb meaning “to conquer.”","VIVO/VIVERE"
"mythology","What wife of Epimetheus, though her name means “all gifts,” actually brought plagues, sorrows, and woes into the world when she opened the box the gods had given her?","PANDORA"
"history","What emperor was assassinated by a tribune of the Praetorian Guard named Cassius Chaerea after a megalomaniacal reign from 37-41 A.D. in which he threatened to make his horse a consul?","CALIGULA/GAIUS"
"history","After killing a scribe he mistook for Lars Porsenna, what boy proved the bravery of the Romans by holding his hand in a fire and letting it burn?","(C.) MUCIUS SCAEVOLA"
"language","In the sentences “Alius eōrum nautās prōdidit” and “Magna pars eōrum abiit,” what is the case and use of “eōrum”?","PARTITIVE GENITIVE"
"mythology","History, astronomy, choral dancing, and epic poetry are just a few examples of the spheres of influence governed by what mythological group?","MUSES"
"history","Who first introduced the Romans to war elephants when Tarentum called him to fight the Romans, though his victories at Heraclea and Asculum were too costly to really be profitable?","PYRRHUS"
"language","Which of the following words does NOT come from the same Latin root as the other three: “engrave,” “grief,” “aggravate,” “gravity”?","ENGRAVE"
"mythology","Who finally married the princess Lavinia after abandoning his first wife, Creusa, and finding ill-fated love in Carthage with Dido?","AENEAS"
"language","For the verb capiō, give the first person plural, imperfect active indicative.","CAPIĒBĀMUS"
"history","The Allobroges handed over critical evidence against what candidate for the consulship of 62 B.C., who led a conspiracy to overtake the Roman government which was exposed by Cicero?","(LUCIUS SERGIUS) CATILINA // CATILINE"
"language","Translate the following sentence into Latin: “The general waged war.”","{DUX / IMPERĀTOR} BELLUM {GERĒBAT / GESSIT}"
"language","Which of the following nouns, if any, does NOT belong based on gender: mīles, oppidum, ager, homō?","OPPIDUM"
"geography","What modern-day country includes the ancient cities of Lugdunum and Lutetia?","FRANCE"
"mythology","What monster, ultimately killed with the help of the winged horse Pegasus by Bellerophon, was said to be part lion, part serpent, and part goat?","CHIMAERA"
"language","Complete the following analogy: ūnus : prīmus :: trēs : ________.","TERTIUS"
"history","What king of Rome was most likely killed by senators, though the traditional account is that he was carried off in a storm and deified as the protector of the city he had founded?","ROMULUS"
"mythology","What couple spent the rest of their lives as keepers of a magnificent temple because, unlike the rest of their Phrygian village, they showed hospitality to the disguised Jupiter and Mercury?","BAUCIS AND PHILEMON [ACCEPT IN EITHER ORDER]"
"language","Give the one-word Latin motto and its meaning for Harvard University.","VĒRITĀS – TRUTH"
"mythology","The loss of Hylas forced what man to abandon the expedition of the Argonauts, which he had joined shortly after presenting Eurystheus with the Erymanthian Boar to complete his fourth labor?","HERACLES / HERCULES"
"language","Translate the following sentence from Latin into English: “Deī fortiorēs quam hominēs sunt.”","GODS ARE {BRAVER / STRONGER} THAN M"
"history","A former governor of Hispania Tarraconensis, a former governor of Lusitania, a commander of the forces in Germania Inferior, and a commander in Judaea all laid claims to the emperorship during what tumultuous year?","69 A.D. // YEAR OF THE FOUR EMPERORS"
"language","What is the case and use of the form “mīrābilēs” in the sentences “Hī trīstissimī diēs vidēbuntur mīrābilēs” and “Hae fēminae sunt mīrābilēs”?","PREDICATE NOMINATIVE"
"language","Give a synonym of the Latin word fēlīx, which means “happy.”","LAETUS / BEĀTUS"
"language","Translate this sentence into English: “Elephantī dē montibus dēscendent.”","THE ELEPHANTS WILL DESCEND FROM THE MOUNTAINS"
"mythology","Who traveled to a cave on the island of Crete to protect her son after wrapping a stone in swaddling cloth and feeding it to her cannibalistic husband Cronus?","RHEA"
"history","Who left the empire to his sons Arcadius and Honorius in 395 A.D., marking the end of a united Eastern and Western empire?","THEODOSIUS (I // THE GREAT)"
"language","Of the nouns lūx, dux, vox, and rēx, which forms its stem differently from the others — that is, which one does not have a -c- in the genitive singular and other oblique cases?","RĒX"
"mythology","What young girl used the power of her voice and conversation to distract Hera from Zeus’s affairs, which resulted in her being cursed only to repeat the words which were spoken to her?","ECHO"
"language","What part of speech are the Latin words edepol, euge, euhoe, heu, oho, hem, ah, and o?","INTERJECTION / EXCLAMATION"
"history","In contrast with Marcellus, the so-called “Sword of Rome,” who was given the title “Shield of Rome” for his strategy against Hannibal, which consisted of delaying and avoiding open battle?","(Q.) FABIUS MAXIMUS (VERRUCOSUS CUNCTATOR)"
"geography","Extending 80 miles from the River Tyne to the Solway Firth, what structure, built by one of the Five Good Emperors, served as the first large-scale frontier defense in Britain?","HADRIAN’S WALL"
"language","Excluding the vocative and locative, how many forms of a first-declension noun could end in -ae?","THREE (GEN. SG., DAT. SG., NOM. PL.)"
"language","Give the four principal parts and meaning of the Latin verb at the root of the word “inscription.”","SCRĪBŌ, SCRĪBERE, SCRĪPSĪ, SCRĪPTUS – TO WRITE"
"mythology","What young man ended up on the island of Seriphos, where he was found by the fisherman Dictys, after his grandfather cast him out to sea along with his mother, Danae?","PERSEUS"
"language","Who proposed capping the amount of public land a single person could occupy at 500 iugera and granting what remained to the poor, but angered senators by running for tribune of the plebs for the second year in a row in the late 130s B.C.?","TIBERIUS (SEMPRONIUS) GRACCHUS"
"language","In the sentence “Novem noctēs in fīnibus īnsulae tenēbātur,” what is the case and use of “noctēs”?","ACCUSATIVE OF {DURATION / EXTENT} (OF TIME)"
"mythology","The regions of Telepylus, Ismarus, Aeolia, Ogygia, and Aeaea were all destinations traveled to by what man, who faced a ten year expedition to return to his homeland following the Trojan War?","ODYSSEUS"
"mythology","Who traveled to the Pactolus River to wash away his unfortunate gift, which had rendered him unable even to eat without his food turning to gold as he touched it?","MIDAS"
"language","From what Latin adjective with what meaning are the English words “dime,” “dozen,” “December,” and “decimate” derived?","DECEM – TEN"
"history","What battle of 321 B.C. saw Roman troops forced to walk under the yoke after they were bloodlessly defeated by the Samnites?","(BATTLE OF) CAUDINE FORKS"
"culture","All of May and the first half of June was considered unlucky time for what occasion, whose varieties include ūsus, coēmptiō, and cōnfarreātiō?","(UNLUCKY DAYS FOR) WEDDINGS / MARRIAGES"
"language","What Latin phrase is used to describe the state of things as they are, often depicting it as unimaginative or flawed, and literally means “the state in which”?","STĀTUS QUŌ"
"history","Known for its remarkable domed roof, what building in ancient Rome was rebuilt by Hadrian but retained the inscription crediting it to Marcus Agrippa, and was dedicated to all the gods","PANTHEON"
"language","“Biceps,” “cadet,” “cabbage,” and “captain” are all derived from what Latin noun with what meaning?","CAPUT – HEAD"
"history","According to Livy, who committed suicide in the presence of her father Tricipitinus and her husband Collatinus, inspiring them and Lucius Junius Brutus to expel the kings from Rome?","LUCRETIA"
"language","Translate the following sentence into Latin using the dative of possession: “The boy has no money.”","PUERŌ NŪLLA PECŪNIA EST / PUERŌ NIHIL PECUNIAE EST"
"mythology","What Athenian managed to avoid poisoning his son when he recognized the sword he had left under a rock alongside a pair of sandals shortly before the birth of his son, Theseus?","AEGEUS"
"language","Give an antonym for the Latin verb inveniō.","ĀMITTŌ / PERDŌ / CĒLŌ"
"history","What emperor died at Vindobona in 180 A.D., passing the throne onto his biological son for the first time in almost a century and thus ending the period of the Five Good Emperors?","MARCUS AURELIUS"
"culture","Differentiate in meaning among the three medical abbreviations b.i.d., t.i.d., and q.i.d.","TWICE A DAY; THREE TIMES A DAY; FOUR TIMES A DAY (RESPECTIVELY)"
"mythology","What figure in the Trojan War, knowing that his former lover had drugs to cure any ailment, begged to be brought to Oenone when he was mortally wounded by Philoctetes, but found her still bitter at his choice to go off and marry a Spartan queen?","PARIS"
"language","Complete the following analogy: sedeō : sedēbō :: dīcō : _______.","DĪCAM"
"mythology","Who begged her father Peneus to save her from the pursuit of Apollo, though all he was able to do was transform her into a laurel tree?","DAPHNE"
"history","What battle was technically fought in two stages a couple weeks apart, where Antony defeated and compelled Cassius to suicide, then inflicted the same on Brutus, in late 42 B.C.?","(BATTLE OF) PHILIPPI"
"language","What term refers to the use of the infinitive following verbs like volō and possum, where the infinitive serves to “fill out” or “complete” the idea of the verb?","COMPLEMENTARY / PROLATIVE (INFINITIVE)"
"mythology","What god unsuccessfully competed with Hera for patronage of Argos and was likewise snubbed by Cecrops while competing with Athena for patronage of Athens?","POSEIDON"
"history","A letter from Antonia Minor warned Tiberius of the intrigues of what man, who had urged him to lengthen his stay in Capri while serving as the emperor’s praetorian prefect?","(L. AELIUS) SEJANUS"
"language","Translate the following sentence into English: “Gallia in partēs trēs dīvīsa est.”","{GALLIA / GAUL} {IS // WAS // HAS BEEN} DIVIDED IN(TO) THREE PARTS"
"mythology","What mythological race included Eurytion, who disrupted the wedding of Pirithous and Hippodamia; Pholus, who shared wine with Heracles; and most famously the teacher of Jason, Achilles, Asclepius, and others — Chiron?","CENTAURS"
"language","Which of the following Latin nouns does NOT belong based on gender: liber, pater, domus, dolus?","DOMUS"
"language","What type of construction, introduced by such verbs as intellegō, sciō, and dīcō, almost always involves a following infinitive verb with an accusative subject, and is used instead of direct quotation?","INDIRECT {STATEMENT / SPEECH} // ŌRĀTIŌ OBLĪQUA"
"history","What region saw the rebellion of Sertorius, the campaigns of Publius and Gnaeus Scipio during the Second Punic War, and the siege of Saguntum that began that war?","SPAIN / HISPĀNIA"
"mythology","What unfortunate youth was brutally murdered and dumped into the sea by his sister, in an attempt to stop the pursuing ships of Colchis from catching her and her lover, Jason?","ABSYRTUS / APSYRTUS"
"language","What do all of the following Latin verbs have in common: dīcō, dūcō, faciō, ferō?","IRREGULAR (PRESENT ACTIVE) IMPERATIVES"
"history","Who was defeated by Acilius Glabrio at Thermopylae, then suffered a final defeat at Magnesia, ending the Seleucid Empire’s short-lived war with Rome?","ANTIOCHUS {III // THE GREAT}"
"history","In the arena, what type of gladiator could be identified by the crest on his helmet, which was typically shaped like a fish?","MURMILLŌ"
"language","Which of the following states does NOT have a prepositional phrase in its motto: Arkansas, Kansas, Colorado, Massachusetts?","ARKANSAS"
"language","For the verb nolō, give the second person singular, present active indicative.","NŌN VĪS"
"mythology","Who was discovered at the court of Cocalus when he successfully threaded a snail shell, but managed to once again escape the angry Cretan king, Minos, who had previously imprisoned him in his own labyrinth?","DAEDALUS"
"mythology","What emperor married a Vestal Virgin, among many other scandals, after he came from Emesa to Rome with a conical black stone which he worshipped as the sun god he was named after?","ELAGABALUS"
"mythology","What shape-changing river god lost one of his horns while he was wrestling with Heracles in the form of a bull for the hand of Deianira?","ACHELOUS"
"language","Translate the following into English: “Nōnne huic quaestiōnī respōndēre possumus?”","WE {CAN // ARE ABLE TO} ANSWER THIS QUESTION, {CAN’T / AREN’T} WE? // {SURELY / AREN’T} WE ARE ABLE TO ANSWER THIS QUESTION?"
"history","What man, after the plebeians abandoned the city, compared them to the limbs of a hungry man to convince them to return and cooperate with the patricians?","MENENIUS AGRIPPA // AGRIPPA MENENIUS (LANATUS)"
"language","Which of the following English words, if any, is NOT derived from the same Latin root as the others: “usher,” “oral,” “osculate,” “oracle""""?","ALL DERIVED FROM SAME ROOT"
"language","Translate into Latin: “Lucius approached the man who was standing near the temple.” [Brief pause] Keep in mind that the word for “approach” — appropinquō — takes the dative.","LŪCIUS {APPROPINQUĀBAT / APPROPINQUĀVIT} {VIRŌ // AD VIRUM} QUĪ PROPE TEMPLUM STĀBAT"
"history","What name is shared between a son of Evander who was entrusted to Aeneas’s care, then killed by Turnus, and a common epithet of Athena that may derive from a childhood companion of hers?","PALLAS"
"language","Make the phrase “illa nōbilis rēs” genitive plural.","ILLĀRUM NŌBILIUM RĒRUM"
"history","What city, known today as Orange, saw the defeat of Servilius Caepio and Mallius Maximus at the hands of the Cimbri and Teutones in 105 B.C., causing the people to give a string of consulships to Marius?","ARAUSIO"
"language","Of the question words quandō, quot, quālis, and quō, which might lead to the reply “tertiō decimō diē”?","QUANDŌ [“WHEN”]"
"language","Complete the following analogy: fortis : fortitūdo :: laetus : ____?","LAETITIA"
"mythology","What goddess attempted to carry off Cephalus as a lover, then found another husband, who grew older and older, becoming a babbling husk of a man, until she turned him into a grasshopper?","EOS / AURORA"

